grid_lat,grid_lon,detections,active_days,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,static_detections,vegetation_detections
23.55,86.55,75,72,1.1543999999999999,5.78,303.7668,340.82,72,3
23.56,87.09,89,71,1.2934831460674159,2.8,303.57955056179776,313.5,86,3
21.92,83.34,84,71,2.5148809523809526,6.43,308.5729761904762,337.72,84,0
15.33,76.29,71,71,1.338169014084507,5.0,307.27802816901414,319.87,70,1
22.06,88.13,84,69,2.572738095238095,7.03,318.02142857142854,344.68,83,1
24.12,86.35,78,69,0.9467948717948718,1.81,300.11064102564103,308.75,74,4
17.15,78.22,77,69,0.9640259740259741,2.0,303.35168831168835,313.43,77,0
26.06,93.89,75,68,0.55,3.37,300.0576,308.31,9,66
22.93,69.82,70,68,0.8408571428571429,1.97,303.1387142857143,309.46,65,5
22.35,82.29,87,67,2.374137931034483,11.65,315.4562068965517,348.07,40,47
23.51,87.28,80,67,1.202625,5.11,303.1125,330.22,78,2
23.26,70.25,79,67,1.200379746835443,6.66,307.0779746835443,344.58,78,1
23.26,70.26,77,67,1.1177922077922078,2.61,306.435974025974,329.17,59,18
21.75,83.84,70,67,1.5937142857142856,6.97,307.4682857142857,342.4,68,2
23.74,85.51,69,67,1.1520289855072463,2.59,308.1127536231884,331.94,69,0
15.34,76.28,90,65,1.953,7.67,311.452,343.44,87,3
23.56,87.23,83,65,1.75,9.57,310.3198795180723,349.07,83,0
23.78,86.38,68,65,2.21,5.98,307.51735294117645,339.26,66,2
24.17,82.56,83,64,1.1186746987951806,2.11,303.55277108433734,325.07,83,0
20.96,85.16,71,64,2.019154929577465,6.12,308.35619718309863,332.13,67,4
22.81,86.09,71,64,1.5371830985915493,8.07,303.92957746478874,327.04,71,0
24.93,74.63,67,64,1.1429850746268657,1.88,306.28850746268654,317.57,66,1
22.24,87.39,72,63,1.3459722222222221,6.27,309.1716666666667,341.99,72,0
24.17,80.69,64,63,1.15546875,2.08,303.5546875,330.69,59,5
23.78,86.2,89,62,2.709775280898876,9.83,307.9286516853933,328.67,88,1
27.6,95.4,80,62,1.188625,5.1,309.5145,334.97,74,6
